puuid,gameName,tagLine,leaderboardRank,rankedRating,numberOfWins,competitiveTier
G_PiUhjApmZCTZ6Fi-4wwTKToW_NSbJlJyyyt0kueTLS_7ujVFMjYsbbqoWNYNUEbJlpiDsWEds0ow,CSUF pashab,pasha,157,599,42,27
5lAFopRg_IjZmWBqBzx0sjKnrQ_Wx8RRhuk31Wd-MPxdgfVYmOK_DZGz5dPd_zpVcnbdsYLssFAfkw,AVEHAN,booty,158,599,29,27
EZxzwsPzZg0gHk_tL3xT665GtSCCp_4XD54_j2tTKWnisdlqH7RQNf-U89lWSYYcCQxyEzDoeRIRvQ,snowing,kim,159,597,31,27
hHC1Xa9mPob5HIejzPwuyLabea4iLU3jQGKfkKa66tDA-7RzYZb1JLYYWLvnvYBSVvQS8Whamb8AlQ,Critical,80085,160,597,28,27
RQw-3HbXJ9IqpaDLFBT0jWDoepCDpbkaTA81w9wSzxEt3QNddC_82QtYQmPdwndl-VZ7mH5cWKu3xA,noahh,rich,161,597,55,27
XhdEqr5NqlfM1-L4LYjSbQCC9unR94h9QUScjy1SouIX4XMnURfETfvENHll65LX9u6VJZeD4QekZw,A1MBOT,6028,162,596,29,27
HTSrAcMudEW559wcxFsR3DqhN66rocpp3Q6CQGUMlvrIIUNM8ZyQqB41lJOoIeS30GWvFsmW3vCTFQ,THUG LORD GECKO,2007,163,596,50,27
_QxdupSoAmOg_jz0pA5FOh1ny4xKQs4EKZXln0napRndxM0bCVBbfiwdDciTEnEuEF8yRZ-qRwAYiQ,XYoshiZ,zoom,164,595,38,27
5MLiFq3taLlzSjFFF9kmY6OvDvg9khdqr42ZcrKR_9t9OgTYar4O5VexCyYBN2SxuPDqBcxefy_OAQ,3281947y23895682,12083,165,595,36,27
yH4NasIEJQxTLN9RxYz825_09OXKAdcLAYwaBj1guOzweb7nDgqPxI3PbsOMP54y1tnaGDNpavQp9Q,noei,SMOKE,166,594,30,27
scCQW9nw687d7uE1RDc9nmEKawC2hmgY6vA11bI60g4VTjeqibOrUNCweFF6oyFRoIhcBV-gsKwBHw,BlanK,tulip,167,594,47,27
r8ZZOFnk6KbXKz1dsqlJ7y9DnzZaU9ZNO75FEe5d10GBfSfgkJAApjBZur96hqt3GzkCSfoIzOeAYQ,altaria,khou,168,592,27,27
NLHfGze6-Q_aFHZniuena5-5Nxi-uafcXxbr08cUhAH9EV_bHx5UzeNbZhANiH2PWpWIFq-Mh1HS6A,flyquest dodonut,bx22,169,590,24,27
86VkCvTl6wDh5qUFQEaUuX43pnkixNCViMOU523CvU68keeULFMnuP29mGjA5oT6fWSOEexqcF1oVQ,azrex,000,170,589,35,27
Q1tZ_-LZhtfBjV7Txhi1OUys5NkqybZjNUcjH-O2pTZ0LJucWk9K9or_oLvIwoAy0_8w1pcv-wF8gQ,Soop,hater,171,588,82,27
kLtY8dcmFtAaxKgHqebrMcLCWWei2yd2coNsBR_BiMoUNxJC3PHfAMdUCTDptowi3x25bY9K1DAyWQ,Enzo,D4C,172,586,65,27
55LZSPAOk_SmqfIrqJQ1-lruoykJKr8bAY2TktGjwMern0LuwxlA-hS5scCKAlFeqhONQbvq5XV97g,Twitch Jerrwin,eppy,173,585,31,27
mZYG7NaPArnOoLDFOfTWE5mfKrJLciMein6KTI2YllWaIdx3XcYaCgnRbNGrzoIv6rLclbo76zV3ug,yhury,XDD,174,584,20,27
fRDd22OjQPrmxbJsJmNSPBwcFgd4FnU8coP3e0hjWSYvgoLQsDSKobQXQ2UPY5ul8M97HICcZjatuw,bless,tonio,175,584,24,27
aznQSTNfAU9F07oxjOB2ICE8lPgLRK4P_NuD4ijxzWOrRxo7qVqhgqhVIf7WxGbcA8FvJzPLq4QzVw,DAVID,han,176,584,34,27
drwk61zxQ3p92vMfDOBK85NWSaGPpcTWahTYrcgAMkW6Tdew-vZxkbLd06jL4B-_f6PBJ_XlXCp5eQ,JoBa,boba,177,583,22,27
24OofLGkl14i1OnzNGc4tibqf4xXKTl0-wAUSdF3McszRDk4qKePHbukCa44obftc3Z4Qs2-vc8GQw,BLuezZ,MAIN,178,582,41,27
e-OOgV_JJLK2kdXg6xDayYyJB8_ge1A45KQXpsBShxhDUgsWhrXDIWiI-KtpFjgZlNLr2us-R2RgTg,SR sarah,arf,179,579,21,27
QwVgVnoIFjOK_2i1i0pKTvsvJ0zk9Rws_aVOIc3BzjRp39pIrnG7KCIEiqfobi5cErcnLboDXpzWOQ,KOAL Nukem,Mist,180,579,40,27
XOwPSY2XrI_VTfIoKAxNqnyIbmv6mcBSoapSyqowluLhJxEjgzX6dtZ_yNO5LwvqiQ6T1Rx983f-cg,ghoul,okst,181,579,38,27
qkQdONC7ZzJJJJIjsguuwhnvZdfTc2sYuItyvMZtdlQHYahnOpcWdXScc1xm_7-OeR5Rn008mAJWqw,M80 Zander,swag,182,578,23,27
aSSnQfJy7tARzOEWVRGiuxbEnQYTJ89jY8HEfscffbc88yyVwDlXYfh6lZ1O3a6J3JZc4zZhpTb8XQ,Savyo,Arab,183,578,30,27
maWwH4dSr4-ww7QpTcPwXX_wspBJNSGQT5TFJa5pQYa2pAdPUSR6rqBsXGZXvy9T7-rM_peMIWZpEQ,Freee Palestine,Hkap,184,578,39,27
185,577,22,27
KcjVz4tEU61LX7xdTNAY14cp6cvGV8HmjALqmY45jS1f9B-vl3t8FQZle8_yC6OzEVShnAxHafvkKg,Nate,4223,186,577,23,27
187,575,24,27
XJ0zaq4Da9BN20rSlZ8KAKwhd9sJv_2lk321SwYXBNM0oi139ka0spka4WC15ovwcHmMohR_-fXrXA,zerona,999,188,575,41,27
0QicFlaIPi5NkV0Z0UrpwETmvxb-Z7wbVeKEgGvrwJ7BQOkakki3cwbb8I7jVkTabe0gn-rzMNVuHw,Xandineee,7777,189,575,40,27
vBu9emK0HOwoPacsS9aRu376ZsFclLWHqDH_UNn3gmMHKAsmO4HlIecODA7KVCLsE51NT4uee9qawQ,PositivePapiCam,Tommy,190,574,35,27
e9l9dCoVvgST9vgS3x9JEbsLVeRQmYnbH9wqtAKzCY4WlcSoknqwvQDYkqHKnOhSIiHixtE4U05rRw,FaNbF4,Brown,191,574,39,27
6w9SM-9CBvYgR7mJtnN_0fg4aRZ2p95gJ6R4DiFfbUbGcJgNF0m1v64nk8dICF2LjPVLIVPolLBDSw,RayUndaunted,Admo,192,574,49,27
t6BYBOc0XzbLXMoAWO5ukvurF69MnH_r02HC3EyvfXoEHtfSBzJHcR1W5T7DGVPqfCxPB7TxeSOtPQ,Zamal,29a,193,573,25,27
-43vYDlUbjKv8gpzDk_TsVtSlfY58O6aDbVwmlKheM-Ix27MoxGAZh6ye1MwpVTROsmjFyocS3ZkSQ,A77,ttp,194,573,28,27
SEswOVNYy9PiSBo1bW08twUb-FVluF1a3nC8-_RsEgaLp4qAoWbvN9ESSSDkpRomijC2HANHoJ4sMg,SUPERKESS,moni,195,573,33,27
5_mN8b9M-u018onMbsmJJYoXt5p6aDTreJGu-F-cWlYFnWwd7pspy91AVWA7f1novdfEE3j5ENiZBg,Thieney,NA1,196,573,33,27
d0q_6hotAoxAFVY1G89mZTglbF3oyWVMpP7Qld1tbEuk6OWdxg1d16WTZvq0N68G8PLFxG0wfHGaPg,7urg,sow,197,573,51,27
198,573,70,27
199,573,57,27
RA_txkAu8wcakm44PCLZK4Yt4DshlX2hsc6TJWFUqQB8tj25YBVzpyckaHJkq_YVpXKmrGdotKniGw,seraph,0002,200,573,37,27
