puuid,gameName,tagLine,leaderboardRank,rankedRating,numberOfWins,competitiveTier
1AllXaXZiBL21r2TfyPpuxEba6yZnz29gp_KCOWflw8c93iNwQMAjZk2CCeUygPINaxW_1P_yTZwwg,moobs,tori,72,691,34,27
4ExbLSwTWyJi9WIqU176vern7ldcSLLl4whsXV5GCI6edJoFgTt8xM0w86uZuH0bH_jkIy6oZrBBfA,Radiant Ronald,sigma,73,688,57,27
jHvgNiirHrQmED-VwJiUMVcHA2fWGY06tn6n3TPU-pG0nrZukaQhqzeUQUWm0PvAr9MRFrJWHqdocA,Xeetii,yujin,74,686,44,27
aYi3hiaAbVpUkgQHkFNmaTXVL7xGrGFRuA2OQyYED45JRJDXc7VnqMqJOYPRatkwX0XxJLPxhp1R6A,swarm,lolz,75,684,60,27
QVbWYNTKo_qUOs_AM69qYwVF99YfeH-kXxcTUXeCLKYRelAiBT5hUTGnPjofW716Jk2qO3RRld8ILg,PIKE Slammed,MSU,76,683,33,27
AIFDVS_EwZ2q1oM8zwgKzTsWpH-WHEaUVFh6MLJN0SOQjJmvpBf-4xw4DiHOVgEe8n5YcUqM6JVomw,CSUN Ara,Cute,77,683,37,27
bVVRqE754n9pNtHbRXLVdgj6AiGRrtHaSa4TjKkZpmOqXbkOTDJiMidcT_75NXfa-l_2VwrU66X6aQ,broski,wety,78,683,42,27
lfA9gXYqg8M82g6gHjfuWzMzYjXy4SqKlOHgXxefrs0pE7TGQsisd1zwx-5L-afNt5eMUizdEDS7vg,edna,0000,79,680,36,27
79BzVfgwZfdCi7y0R_gBcunrN2LMPopm2pMn-14opCzw5XtXw4kLni_RVJCrrSgdPagcDFNNqXHuQA,AKM GaryDaSnail,Dingl,80,680,43,27
gBgiHjo28B-kBl2nUu_nm6uIKVg0d2E1akEqJvLRCvgo-AhRbFxZksDPYdpJCDqpXg8IztDws7cCEg,corey,1313,81,679,34,27
82,678,63,27
6GxzO-Tcc5kXtHw0OJDwIx9D8NrDXSPx7omGRDzaATj0f3FscQAF6JIMzkFiNEDA2uKnMHCDpkA0xA,add3r,help,83,677,37,27
CCGUJv8eSKw790f-CncRlsWONVbd61EjhmX2SPaQsb_JCXvKWlTCe-dSaShr6NIGhhtM_F3_Ll2zeg,CSP Cheddy,1TAP,84,677,79,27
AQJjKG2hXwJpACenVSExP4ZXQAhA0dPyjUo0ZhYY5tOnlWLG9p28x81DSisl4l_cuBR9gH5mlFUsFw,Wicked,leah,85,676,58,27
uOcrKmJnrAgM8aBkkoYRZ-3plUiN9qcc4sBVzsrtMceaA_pZ9xDu7bwhAX32KX-r9krMbmdJcnEkTw,storientwi,idc,86,674,66,27
tP-zTADxo7K_KIMcVCa3JPzpJkM4N8N2KgJVKZDr1a7gVcTM3l1aBEQ1f1XYZLrvboNhRSKUQhTZ_w,psyche,psy,87,673,36,27
sC-a1xIqmb4wnVV5ckm7aY9vPSDcXr6AK5EmAlTxI0ty8ldyuE9wKajCa3-kxTKoBhBOsaTKPJ160Q,nabil,jess,88,671,27,27
uvnOhQS22IXwLKhqAVW72JGh1iTswBKkjvz6WBFbuPVxANT_PkjTvO4TpB9AeXUcSMBmgsZ9kS4MUQ,dedmos,333,89,671,82,27
WW_kN001WLEgW3_0LfkD6m4rDfupduvWVfRhVJYxDYVENuI09YwrI8RM8yyGwK33AfOHPjd0RYh8Pw,OR nillyaz,sosa,90,670,27,27
u5pdezEJ3RUiKWkgFQ2uqKUUihxUJOHXHbe8nlbZ_IPrarlX7IjtJUx3DBQg3FgXcgkjWs-PhcbWJA,DraYstaR,zapr,91,670,42,27
U_47DecoCj3z04XKxZMbkotyFEfYOvlY-dKfCQobuNFxLzHuMijn4vfog2B8GmgP7C1FFID_ciRpKQ,Shadowz,DownB,92,668,39,27
VRbU1nhEPeIIZsH0RkIjHm84qiA3GdFrQ1Oe42-_FKjVtnmFXwmyFjXCH9JeYv35ogkJuEuv651Pnw,runi,jess,93,664,39,27
_-hWiIYJ48Pd7MsLiZBSsIDs4G27YyzGdtxPKVgOQUZYpkV4ipHbCEFjzJ3LzEORJHl-oNPW1Fqg7A,nokAY,TTV,94,663,54,27
3K7Zxz4psmuoO8P9HPGwFQJlrlY2Wl_c5R7vAnr3ptUM0a_34M105yz4Nv6AtkN_qxwRTHZDHti4Gg,Derrek,100,95,659,37,27
MQySnEbl22faFleDUxFdKkclr5FUumw96B4k8soao0bGEINsaeMfkrLih_k_ofYHpzkeEGKMOpyksQ,Miku,NA1,96,659,50,27
Z2qqnJ5loLSju8iGDubSPnenVpgXlckCkkr_Jy56STaNXY3CwN1yok4umEXutiAJyCq5XBu3Ce6Ceg,SEN PANCADAAAAAA,bryan,97,657,28,27
dOn8wwug8Wj4tTkfJLt61SW7xmnIGlTjE3_QsekO4dlL8l50u1TLkzVI9ZDFhURuqkPoucC31MAMdw,NAMI,SorGS,98,656,40,27
RqnwhMQo7xuN48bREqsXRJ90sZsXcZJZRnUrBh78foAyA9v3Qa1SeoAqiYJvhgWC2eenysvBojBRdQ,mr fartfantastic,fart,99,654,31,27
yIBlDxH_JuO1hgV5qntQghLb-T21n6AfiFhhCPRlnjbbvNjxuFae1R46ZISmRs5li-abYTPVoE_jjw,CoinFlip,heads,100,653,48,27
Kb_wg43djIpxhmOfemx-YOF85lqf7BSY0LxZ3DeZTtwVgM7YgwIeduwnQuFPmSS8uZeXhrDOXy6Zvw,TTV Banh Bao,BEAST,101,653,99,27
ZUmOLaXzXx651Tl7rbgekPhPF__y0u_jPR6xmaPj8vvJFK7vKluPqRLJ6BfDCaRpYJYt4usvpS59Gw,Clewy,2rich,102,650,25,27
6fqoiQFanY-SfDXVEvD25EBpoT7uHGwyuJvTxKTpWWPeJNfl8qfpOycSjDP9Ps7N_IhNKGTZm8CE9Q,twitch kiro,anw,103,647,70,27
I1KZAoQcn6CrDzIZZIiuKSIWAfzmsSSlFg_KF2M2zuUMOrmqQvGyDGEY7etiE_h0Mvtd-FPmVf1Vcw,Sworns,0120,104,643,33,27
HIUMoURTdGqG7Nxly7DIkoURCKK1xXHXJ76ENQE7Vjk_kyznzV8GcSvW2TbWmVPZ-M_jl9_xlSE3Ew,CHRISTIAN DIOR,2nice,105,642,34,27
NfcUE_1X--TCSf9635nt0vHtXfqTVJA2ur4E47dUVJhL4547_-74nF51_LtRbYufX-m7Vb_F4qZofA,Torrify,H2bH,106,639,33,27
mm1Xcu5B3BywJZvgHMWvd8jbCNOlI3IxTn1gNPzAGJO8qKnsuWxGHoXMcwVVEFe-wnyS_SGpq8RX7Q,Muff1nkat,1111,107,639,33,27
yzO04chcHZCMVRkBSQdx2QZWUCE-K9gdxf6sibdmQ8PKKfHTorWTFixYCoFwAe4yVSfMc_r3-kQQFg,tech,777,108,636,27,27
aDiwyA_vnFjizjVNI6vuDOjIVh77BLtEslh__fa00183Cuj1hosxOj_qqIO3WlQzB60saYJCiJSKbw,ocean,0707,109,636,40,27
110,635,40,27
ZfhF3SlLTzlkaBBXX3Js-WFhAiK0uVqBr9OnLjgThRTIQXkA8Op_6bMSUJIMVezsWMN_3G2-2Z4dew,Dasnerth,KING,111,635,44,27
Ew07iwaUq0HpxHMRqTAYlsY9sinvhqZsxktAl2Wma0ubbQrh9PSskaPB-O3z351dbaYENnXna1IC9w,McLovin,FPS7,112,633,74,27
4PwILcO72g_CSRRK5AHOwnzw_pvxkyDPvRYpYGDCBuw5SZ76jqurcb7Oe2awSm0zqLnO6a4hQ3XKKQ,Pyro,1012,113,632,26,27
