Game ID,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
377160,377160,Fallout 4,Bethesda Game Studios,Bethesda Softworks,,265964,55589,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,13463
107410,107410,Arma 3,Bohemia Interactive,Bohemia Interactive,,230190,24258,0,"5,000,000 .. 10,000,000",0,0,0,0,599,2999,80,11223
224260,224260,No More Room in Hell,No More Room in Hell Team,Lever Games,,62374,7015,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,579
1046930,1046930,Dota Underlords,Valve,Valve,,74366,15996,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,2172
220,220,Half-Life 2,Valve,Valve,,170693,4272,0,"5,000,000 .. 10,000,000",0,0,0,0,999,999,0,730
221100,221100,DayZ,Bohemia Interactive,Bohemia Interactive,,269877,93329,0,"5,000,000 .. 10,000,000",0,0,0,0,4499,4499,0,47713
130,130,Half-Life: Blue Shift,Gearbox Software,Valve,,13204,1160,0,"5,000,000 .. 10,000,000",0,0,0,0,499,499,0,41
278360,278360,A Story About My Uncle,Gone North Games,Coffee Stain Publishing,,26108,2347,0,"5,000,000 .. 10,000,000",0,0,0,0,299,1499,80,9
333930,333930,Dirty Bomb,Splash Damage,Warchest Ltd.,,46892,10824,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,212
275850,275850,No Man's Sky,Hello Games,Hello Games,,221553,58829,0,"5,000,000 .. 10,000,000",0,0,0,0,5999,5999,0,5658
417910,417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,956,697,0,"5,000,000 .. 10,000,000",0,0,0,0,199,199,0,0
10180,10180,Call of Duty: Modern Warfare 2 (2009),Infinity Ward,Activision,,50318,3695,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,547
1238810,1238810,Battlefield V,DICE,Electronic Arts,,121161,51160,0,"5,000,000 .. 10,000,000",0,0,0,0,4999,4999,0,7486
700330,700330,SCP: Secret Laboratory,Northwood Studios,Northwood Studios,,160978,14635,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,5961
273350,273350,Evolve Stage 2,Turtle Rock Studios,2K,,33781,14614,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,13
360,360,Half-Life Deathmatch: Source,Valve,Valve,,2788,970,0,"5,000,000 .. 10,000,000",0,0,0,0,999,999,0,11
976730,976730,Halo: The Master Chief Collection,"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Xbox Game Studios,,198862,16050,0,"5,000,000 .. 10,000,000",0,0,0,0,3999,3999,0,4498
365590,365590,Tom Clancy’s The Division,Massive Entertainment,Ubisoft,,62142,27037,0,"5,000,000 .. 10,000,000",0,0,0,0,2999,2999,0,574
439700,439700,Z1 Battle Royale: Test Server,Daybreak Game Company,Daybreak Game Company,,1330,1205,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,2
1172620,1172620,Sea of Thieves 2023 Edition,Rare Ltd,Xbox Game Studios,,272374,30360,0,"5,000,000 .. 10,000,000",0,0,0,0,3999,3999,0,6940
594650,594650,Hunt: Showdown,Crytek,Crytek,,147353,32058,0,"5,000,000 .. 10,000,000",0,0,0,0,3999,3999,0,18143
2630,2630,Call of Duty 2,Infinity Ward,Activision,,8208,571,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,208
363970,363970,Clicker Heroes,Playsaurus,Playsaurus,,53448,6031,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,2615
219640,219640,Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,,54461,11553,0,"5,000,000 .. 10,000,000",0,0,0,0,2499,2499,0,63
253710,253710,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",,22757,17439,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,984
30,30,Day of Defeat,Valve,Valve,,5840,661,0,"5,000,000 .. 10,000,000",0,0,0,0,399,499,20,94
22380,22380,Fallout: New Vegas,Obsidian Entertainment,Bethesda Softworks,,181124,6666,0,"5,000,000 .. 10,000,000",0,0,0,0,999,999,0,4191
225840,225840,Sven Co-op,Sven Co-op team,Sven Co-op team,,26646,1795,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,257
20,20,Team Fortress Classic,Valve,Valve,,6709,1029,0,"5,000,000 .. 10,000,000",0,0,0,0,499,499,0,96
231430,231430,Company of Heroes 2,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,81521,21964,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,4364
264710,264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,240573,8120,0,"5,000,000 .. 10,000,000",0,0,0,0,2999,2999,0,2463
304050,304050,Trove,gamigo US Inc.,gamigo US Inc.,,72997,17702,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,1078
8870,8870,BioShock Infinite,"Irrational Games, Virtual Programming (Linux)",2K,,125742,8209,0,"5,000,000 .. 10,000,000",0,0,0,0,749,2999,75,381
420,420,Half-Life 2: Episode Two,Valve,Valve,,35183,1063,0,"5,000,000 .. 10,000,000",0,0,0,0,799,799,0,154
677620,677620,Splitgate: Arena Warfare,1047 Games,1047 Games,,101036,9398,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,365
346900,346900,AdVenture Capitalist,Hyper Hippo Games,Hyper Hippo Games,,49346,6678,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,1451
555570,555570,Infestation: The New Z,Fredaikis AB,OP Productions LLC,,17937,15566,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,537
629760,629760,MORDHAU,Triternion,Triternion,,88111,21234,0,"5,000,000 .. 10,000,000",0,0,0,0,2999,2999,0,1145
273110,273110,Counter-Strike Nexon: Studio,"Valve, NEXON",NEXON,,27386,14051,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,476
397900,397900,Business Tour - Board Game with Online Multiplayer,8Floor,8Floor,,42597,27181,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,739
300,300,Day of Defeat: Source,Valve,Valve,,18890,1764,0,"5,000,000 .. 10,000,000",0,0,0,0,999,999,0,324
211500,211500,RaceRoom Racing Experience,KW Studios,"KW Studios, RaceRoom Entertainment AG",,14662,5169,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,524
500,500,Left 4 Dead,Valve,Valve,,49399,1913,0,"5,000,000 .. 10,000,000",0,0,0,0,999,999,0,420
379720,379720,DOOM,id Software,Bethesda Softworks,,174549,8531,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,549
339610,339610,Freestyle 2: Street Basketball,JOYCITY,JOYCITY,,8974,3335,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,317
284160,284160,BeamNG.drive,BeamNG,BeamNG,,201641,5865,0,"5,000,000 .. 10,000,000",0,0,0,0,2499,2499,0,11797
868270,868270,The Cycle,YAGER,YAGER,,27779,16896,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,5
244210,244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,,99808,8143,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,8632
782330,782330,DOOM Eternal,id Software,Bethesda Softworks,,164026,16342,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,891
513710,513710,SCUM,Gamepires,Jagex Ltd,,70563,24394,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,17162
534380,534380,Dying Light 2 Stay Human,Techland,Techland,,114493,32722,0,"2,000,000 .. 5,000,000",0,0,0,0,5999,5999,0,4970
1237970,1237970,Titanfall 2,Respawn Entertainment,Electronic Arts,,187780,9914,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,2720
552500,552500,Warhammer: Vermintide 2,Fatshark,Fatshark,,98089,17630,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,3841
238320,238320,Outlast,Red Barrels,Red Barrels,,104037,3867,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,292
311210,311210,Call of Duty: Black Ops III,"Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)",,151839,31570,0,"2,000,000 .. 5,000,000",0,0,0,0,5999,5999,0,3848
8190,8190,Just Cause 2,Avalanche Studios,Square Enix,,45155,4567,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,113
1250,1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,,61785,3270,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,252
6060,6060,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,"Lucasfilm, LucasArts, Disney",,47520,2810,0,"2,000,000 .. 5,000,000",0,0,0,0,999,999,0,292
355840,355840,Survarium,Vostok Games,Vostok Games,,13929,11850,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,2
222880,222880,Insurgency,New World Interactive,New World Interactive,,114437,10246,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,359
1056960,1056960,Wolfenstein: Youngblood,"Machine Games, Arkane Studios",Bethesda Softworks,,5653,6883,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,81
223750,223750,DCS World Steam Edition,Eagle Dynamics SA,advocatus,,25853,4069,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,995
548430,548430,Deep Rock Galactic,Ghost Ship Games,Coffee Stain Publishing,,238803,7488,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,13395
115300,115300,Call of Duty: Modern Warfare 3 (2011),"Infinity Ward, Sledgehammer Games",Activision,,31065,4115,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,1
33930,33930,Arma 2: Operation Arrowhead,Bohemia Interactive,Bohemia Interactive,,20185,1659,0,"2,000,000 .. 5,000,000",0,0,0,0,399,1999,80,237
24240,24240,PAYDAY The Heist,OVERKILL Software,Daybreak Game Company,,36926,2634,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,29
380600,380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,,42493,6772,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,6601
63380,63380,Sniper Elite V2,Rebellion,Rebellion,,22012,2933,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,60
601510,601510,Yu-Gi-Oh! Duel Links,KONAMI,KONAMI,,34330,6622,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,3447
202970,202970,Call of Duty: Black Ops II,Treyarch,Activision,,37301,6008,0,"2,000,000 .. 5,000,000",0,0,0,0,5999,5999,0,168
671860,671860,BattleBit Remastered,"SgtOkiDoki, Vilaskis, TheLiquidHorse",SgtOkiDoki,,83883,10535,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,5992
466240,466240,Deceit,World Makers,World Makers,,71488,18786,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,616
50,50,Half-Life: Opposing Force,Gearbox Software,Valve,,18579,934,0,"2,000,000 .. 5,000,000",0,0,0,0,499,499,0,61
397540,397540,Borderlands 3,Gearbox Software,2K,,105728,18826,0,"2,000,000 .. 5,000,000",0,0,0,0,899,5999,85,5420
7670,7670,BioShock,"2K Boston, 2K Australia",2K,,27602,1704,0,"2,000,000 .. 5,000,000",0,0,0,0,499,1999,75,79
674940,674940,Stick Fight: The Game,Landfall West,Landfall,,106426,7126,0,"2,000,000 .. 5,000,000",0,0,0,0,499,499,0,349
302830,302830,BLOCKADE 3D,Novalink,Novalink,,15286,10877,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,7
518790,518790,theHunter: Call of the Wild,Expansive Worlds,Expansive Worlds,,125441,16976,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,4777
884660,884660,CRSED: F.O.A.D.,Darkflow Software,Gaijin Distribution KFT,,30022,7946,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,200
506540,506540,Last Man Standing,"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,,10992,6973,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,0
35450,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Tripwire Interactive,Tripwire Interactive,,33925,2768,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,158
261640,261640,Borderlands: The Pre-Sequel,"2K Australia, Gearbox Software, Aspyr (Linux)","2K, Aspyr (Linux)",,31826,7333,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,329
1238840,1238840,Battlefield 1,DICE,Electronic Arts,,111543,17602,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,5430
33900,33900,Arma 2,Bohemia Interactive,Bohemia Interactive,,1772,349,0,"2,000,000 .. 5,000,000",0,0,0,0,259,1299,80,2
1229490,1229490,ULTRAKILL,"Arsi ""Hakita"" Patala",New Blood Interactive,,80065,1546,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,2499,20,1509
301520,301520,Robocraft,Freejam,Freejam,,86162,32238,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,182
552520,552520,Far Cry 5,"Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev",Ubisoft,,116439,28379,0,"2,000,000 .. 5,000,000",0,0,0,0,899,5999,85,5463
1832640,1832640,Mirror 2: Project X,KAGAMI Ⅱ WORKs,NIJICO,,29768,88282,0,"2,000,000 .. 5,000,000",0,0,0,0,99,199,50,41
407530,407530,ARK: Survival Of The Fittest,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,7550,3873,0,"2,000,000 .. 5,000,000",0,0,0,0,1499,1499,0,17
546560,546560,Half-Life: Alyx,Valve,Valve,,82191,1360,0,"2,000,000 .. 5,000,000",0,0,0,0,5999,5999,0,290
813820,813820,Realm Royale,Heroic Leap Games,Hi-Rez Studios,,42628,13520,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,273
42680,42680,Call of Duty: Modern Warfare 3 (2011),"Infinity Ward, Sledgehammer Games",Activision,,21320,3686,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,277
365670,365670,Blender,Blender Foundation,Blender Foundation,,48502,1519,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,9034
1151340,1151340,Fallout 76,Bethesda Game Studios,Bethesda Softworks,,66248,25288,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,6901
1196590,1196590,Resident Evil Village,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,94642,4171,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,1358
10090,10090,Call of Duty: World at War,Treyarch,Activision,,42564,3780,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,530
265630,265630,Fistful of Frags,Fistful of Frags Team,Fistful of Frags Team,,32079,3010,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,87
418460,418460,Rising Storm 2: Vietnam,"Antimatter Games, Tripwire Interactive",Tripwire Interactive,,46023,7218,0,"2,000,000 .. 5,000,000",0,0,0,0,499,499,0,306
380,380,Half-Life 2: Episode One,Valve,Valve,,25735,1130,0,"2,000,000 .. 5,000,000",0,0,0,0,799,799,0,108
1180380,1180380,Stay Out,MOBITECH LLC,MOBITECH LLC,,10849,7611,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1814
224600,224600,Defiance,Trion Worlds,Trion Worlds,,9676,2994,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1
202990,202990,Call of Duty: Black Ops II,Treyarch,Activision,,27100,4790,0,"2,000,000 .. 5,000,000",0,0,0,0,5999,5999,0,282
4560,4560,Company of Heroes - Legacy Edition,Relic Entertainment,SEGA,,6195,421,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,87
113400,113400,APB Reloaded,Reloaded Productions,Little Orbit,,23232,13324,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,231
17410,17410,Mirror's Edge,DICE,Electronic Arts,,30475,4348,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,66
233130,233130,Shadow Warrior,Flying Wild Hog,Devolver Digital,,23240,1934,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,35
232090,232090,Killing Floor 2,Tripwire Interactive,Tripwire Interactive,,102256,14329,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,3943
209870,209870,Blacklight: Retribution,"Hardsuit Labs, Inc.","Hardsuit Labs, Inc.",,12456,3964,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,2
282440,282440,Quake Live,id Software,Bethesda Softworks,,12780,2047,0,"2,000,000 .. 5,000,000",0,0,0,0,999,999,0,262
905370,905370,Conqueror's Blade,Booming Tech,MY.GAMES,,21328,7074,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1519
471710,471710,Rec Room,Rec Room,Rec Room,,52446,5203,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1612
262410,262410,World of Guns: Gun Disassembly,Noble Empire Corp.,Noble Empire Corp.,,15326,2917,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,141
1619450,1619450,Heart of a Warrior,Techworld Communication,Techworld Communication,,0,1,0,"2,000,000 .. 5,000,000",0,0,0,0,1099,1099,0,0
298110,298110,Far Cry 4,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,,41037,8033,0,"2,000,000 .. 5,000,000",0,0,0,0,599,2999,80,2102
242720,242720,GunZ 2: The Second Duel,"Masangsoft, Inc.","Masangsoft, Inc.",,7017,3592,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,9
286690,286690,Metro 2033 Redux,4A Games,Deep Silver,,68910,8096,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,440
460930,460930,Tom Clancy's Ghost Recon Wildlands,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections, Ubisoft Belgrade",Ubisoft,,63934,16598,0,"2,000,000 .. 5,000,000",0,0,0,0,4999,4999,0,1432
8850,8850,BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,,12035,1437,0,"2,000,000 .. 5,000,000",0,0,0,0,399,1999,80,21
286940,286940,S.K.I.L.L. - Special Force 2 (Shooter),"Dragonfly GF Co., LTD",Space Budgie,,8128,3341,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,0
1144200,1144200,Ready or Not,VOID Interactive,VOID Interactive,,111983,11444,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,2381
316010,316010,Magic Duels,Stainless Games Ltd.,Wizards of the Coast LLC,,16958,6973,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,52
214490,214490,Alien: Isolation,"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,49032,3725,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,180
312660,312660,Sniper Elite 4,Rebellion,Rebellion,,46957,4737,0,"2,000,000 .. 5,000,000",0,0,0,0,5999,5999,0,2524
550900,550900,Metin2,WEBZEN Inc.,Gameforge 4D GmbH,,10314,4409,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1
11020,11020,TrackMania Nations Forever,Nadeo,Ubisoft,,19533,2276,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,255
362890,362890,Black Mesa,Crowbar Collective,Crowbar Collective,,99176,4776,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,721
287390,287390,Metro: Last Light Redux,4A Games,Deep Silver,,53789,6196,0,"2,000,000 .. 5,000,000",0,0,0,0,1999,1999,0,379
530700,530700,Argo,Bohemia Interactive,Bohemia Interactive,,5674,5391,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,1
203290,203290,America's Army: Proving Grounds,U.S. Army,U.S. Army,,8409,2269,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,153
644560,644560,Mirror,KAGAMI WORKS,Paradise Project,,80419,2554,0,"2,000,000 .. 5,000,000",0,0,0,0,79,199,60,201
55100,55100,Homefront,"Kaos Studios, Digital Extremes",Deep Silver,,7287,4761,0,"2,000,000 .. 5,000,000",0,0,0,0,199,1999,90,16
24960,24960,Battlefield: Bad Company 2,DICE,Electronic Arts,,31221,5504,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,75
581320,581320,Insurgency: Sandstorm,New World Interactive,Focus Entertainment,,96925,17014,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,2174
295110,295110,Just Survive,Daybreak Game Company,Daybreak Game Company,,46261,32072,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,2
646910,646910,The Crew 2,Ivory Tower,Ubisoft,,56351,12915,0,"2,000,000 .. 5,000,000",0,0,0,0,4999,4999,0,614
686810,686810,Hell Let Loose,Team17,Team17,,88987,19457,0,"2,000,000 .. 5,000,000",0,0,0,0,4499,4499,0,4638
412020,412020,Metro Exodus,4A Games,Deep Silver,,86705,10494,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,1223
238090,238090,Sniper Elite 3,Rebellion,Rebellion,,20726,4472,0,"2,000,000 .. 5,000,000",0,0,0,0,2999,2999,0,311
42700,42700,Call of Duty: Black Ops,Treyarch,Activision,,32133,3308,0,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,388
