Game ID,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
730,730,Counter-Strike: Global Offensive,Valve,Valve,,6798010,942302,0,"100,000,000 .. 200,000,000",0,0,0,0,0,0,0,782254
578080,578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1290722,952116,0,"50,000,000 .. 100,000,000",0,0,0,0,0,0,0,296805
1172470,1172470,Apex Legends,Respawn Entertainment,Electronic Arts,,591936,152939,0,"50,000,000 .. 100,000,000",0,0,0,0,0,0,0,186702
440,440,Team Fortress 2,Valve,Valve,,941419,61226,0,"50,000,000 .. 100,000,000",0,0,0,0,0,0,0,67546
550,550,Left 4 Dead 2,Valve,Valve,,773702,19520,0,"50,000,000 .. 100,000,000",0,0,0,0,999,999,0,18536
304930,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,481795,44774,0,"20,000,000 .. 50,000,000",0,0,0,0,0,0,0,55236
252490,252490,Rust,Facepunch Studios,Facepunch Studios,,851501,127625,0,"20,000,000 .. 50,000,000",0,0,0,0,3999,3999,0,76860
236390,236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,336182,226096,0,"20,000,000 .. 50,000,000",0,0,0,0,0,0,0,73989
1938090,1938090,Call of Duty: Modern Warfare II,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,,274284,191455,0,"20,000,000 .. 50,000,000",0,0,0,0,6999,6999,0,143789
359550,359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,1027773,168584,0,"20,000,000 .. 50,000,000",0,0,0,0,1999,1999,0,38655
4000,4000,Garry's Mod,Facepunch Studios,Valve,,978519,33217,0,"20,000,000 .. 50,000,000",0,0,0,0,999,999,0,19773
1085660,1085660,Destiny 2,Bungie,Bungie,,462921,108026,0,"20,000,000 .. 50,000,000",0,0,0,0,0,0,0,31132
431960,431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,,699618,13794,0,"20,000,000 .. 50,000,000",0,0,0,0,399,399,0,86977
340,340,Half-Life 2: Lost Coast,Valve,Valve,,10871,1338,0,"20,000,000 .. 50,000,000",0,0,0,0,0,0,0,17
218620,218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,575024,68015,0,"20,000,000 .. 50,000,000",0,0,0,0,999,999,0,29501
1091500,1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,,543945,133859,0,"20,000,000 .. 50,000,000",0,0,0,0,5999,5999,0,39020
291480,291480,Warface,MY.GAMES,MY.GAMES,,55172,27151,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,809
49520,49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,260818,17168,0,"10,000,000 .. 20,000,000",0,0,0,0,1999,1999,0,2356
10,10,Counter-Strike,Valve,Valve,,220593,5696,0,"10,000,000 .. 20,000,000",0,0,0,0,999,999,0,11659
1517290,1517290,Battlefield 2042,DICE,Electronic Arts,,93497,137519,0,"10,000,000 .. 20,000,000",0,0,0,0,5999,5999,0,21040
227940,227940,Heroes & Generals,TLM Partners,TLM Partners,,96431,47137,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,4
438100,438100,VRChat,VRChat Inc.,VRChat Inc.,,151146,54255,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,23259
1240440,1240440,Halo Infinite,343 Industries,Xbox Game Studios,,115449,49101,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,9083
620,620,Portal 2,Valve,Valve,,360618,4605,0,"10,000,000 .. 20,000,000",0,0,0,0,999,999,0,1465
755790,755790,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,,74807,25893,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,140
240,240,Counter-Strike: Source,Valve,Valve,,155322,6035,0,"10,000,000 .. 20,000,000",0,0,0,0,999,999,0,3840
444200,444200,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,,106570,26552,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,12938
648800,648800,Raft,Redbeet Interactive,Axolot Games,,270556,18350,0,"10,000,000 .. 20,000,000",0,0,0,0,1999,1999,0,7171
550650,550650,Black Squad,"VALOFE, NS STUDIO",VALOFE,,61267,19319,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,628
242760,242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,483538,22971,0,"10,000,000 .. 20,000,000",0,0,0,0,1999,1999,0,9682
239140,239140,Dying Light,Techland,Techland,,375790,19281,0,"10,000,000 .. 20,000,000",0,0,0,0,899,2999,70,5272
433850,433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,114626,91553,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,68
1174180,1174180,Red Dead Redemption 2,Rockstar Games,Rockstar Games,,429903,43701,0,"10,000,000 .. 20,000,000",0,0,0,0,5999,5999,0,33149
70,70,Half-Life,Valve,Valve,,91745,3373,0,"10,000,000 .. 20,000,000",0,0,0,0,999,999,0,520
251570,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,249256,33233,0,"10,000,000 .. 20,000,000",0,0,0,0,2499,2499,0,33305
400,400,Portal,Valve,Valve,,140326,2141,0,"10,000,000 .. 20,000,000",0,0,0,0,999,999,0,337
230410,230410,Warframe,Digital Extremes,Digital Extremes,,480314,74994,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,52602
444090,444090,Paladins,Evil Mojo Games,Hi-Rez Studios,,290239,50332,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,6277
218230,218230,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,,57646,13189,0,"5,000,000 .. 10,000,000",0,0,0,0,0,0,0,966
60,60,Ricochet,Valve,Valve,,4423,980,0,"5,000,000 .. 10,000,000",0,0,0,0,499,499,0,5
