timestamp,open,high,low,close,volume,daily_return
2023-11-01,339.68,347.41,339.66,346.07,28103396,
2023-10-31,338.85,339.0,334.69,338.11,20265282,-2.3001126939636407
2023-10-30,333.41,339.45,331.83,337.31,22828082,-0.23660938747744886
2023-10-27,330.425,336.72,328.4007,329.81,29856522,-2.2234739557083993
2023-10-26,340.54,341.63,326.94,327.89,37828543,-0.5821533610260499
2023-10-25,345.02,346.2,337.62,340.67,55053828,3.8976486016651934
2023-10-24,331.3,331.84,327.6,330.53,31153571,-2.9764875099069554
2023-10-23,325.47,332.725,324.39,329.32,24374748,-0.3660787220524542
2023-10-20,331.72,331.92,325.45,326.67,25027715,-0.8046884489250505
2023-10-19,332.15,336.88,330.91,331.32,25052071,1.4234548627054755
2023-10-18,332.49,335.59,328.3,330.11,23153602,-0.36520584329348127
2023-10-17,329.59,333.46,327.41,332.06,18338523,0.590712186846809
2023-10-16,331.05,336.14,330.6,332.64,22158048,0.17466722881407382
2023-10-13,332.38,333.83,326.36,327.73,21085695,-1.476070226070214
2023-10-12,330.565,333.6299,328.72,331.16,19313098,1.0465932322338611
2023-10-11,331.21,332.82,329.14,332.42,20063246,0.38048073438821106
2023-10-10,330.96,331.1,327.67,328.39,20557094,-1.2123217616268667
2023-10-09,324.75,330.3,323.18,329.82,19891180,0.4354578397637088
2023-10-06,316.55,329.19,316.3,327.26,25673630,-0.7761809471833137
2023-10-05,319.09,319.98,314.9,319.36,16965629,-2.4139827659964475
2023-10-04,314.03,320.04,314.0,318.955,20720144,-0.12681613226454003
2023-10-03,320.83,321.39,311.215,313.39,21033492,-1.7447602326347011
2023-10-02,316.28,321.888,315.18,321.8,20570006,2.6835572290117904
2023-09-29,317.75,319.47,314.98,315.75,24147298,-1.8800497203231847
2023-09-28,310.99,315.48,309.45,313.64,19683564,-0.6682501979414113
2023-09-27,312.3,314.299,309.69,312.79,19410082,-0.27101135059303116
2023-09-26,315.13,315.88,310.02,312.14,26297573,-0.20780715496020452
2023-09-25,316.59,317.67,315.0,317.54,17835964,1.7299929518805879
2023-09-22,321.32,321.45,316.15,317.01,21447887,-0.16690810606538875
2023-09-21,319.26,325.3499,315.0,319.53,35560362,0.7949276048074161
2023-09-20,329.51,329.59,320.51,320.77,21436525,0.3880699777798702
2023-09-19,326.17,329.39,324.51,328.65,16514487,2.456588833120299
2023-09-18,327.8,330.4,326.36,329.06,16834208,0.12475277650996208
2023-09-15,336.92,337.3975,329.65,330.22,37679792,0.3525192973925728
2023-09-14,339.148,340.86,336.57,338.7,20267048,2.5679849797104914
2023-09-13,331.31,336.85,331.17,336.06,16544412,-0.7794508414526113
2023-09-12,335.815,336.79,331.48,331.77,17565482,-1.2765577575433062
2023-09-11,337.24,338.42,335.43,337.94,16583324,1.8597220966332095
2023-09-08,330.09,336.16,329.46,334.27,19548165,-1.0859915961413336
2023-09-07,331.29,333.08,329.03,329.91,18380995,-1.3043348191581483
2023-09-06,333.38,334.46,330.18,332.88,17535773,0.9002455215058491
