,timestamp,open,high,low,close,volume,daily_return
0,2023-12-05,128.95,132.14,128.25,130.99,27384784,
1,2023-12-04,129.88,130.03,127.9,129.27,36669876,-1.3130773341476387
2,2023-12-01,131.86,132.11,130.665,131.86,31442263,2.003558443567721
3,2023-11-30,135.05,135.55,131.28,132.53,38988263,0.5081146670711245
4,2023-11-29,137.57,138.288,134.84,134.99,23967222,1.8561835056213782
5,2023-11-28,136.08,137.25,135.4222,137.2,18730032,1.6371583080228014
6,2023-11-27,136.03,138.42,136.0,136.41,23436526,-0.575801749271132
7,2023-11-24,138.03,138.13,135.99,136.69,12514322,0.20526354372847333
8,2023-11-22,137.47,139.42,137.47,138.49,17820456,1.3168483429658373
9,2023-11-21,136.29,137.18,135.96,136.97,22635272,-1.0975521698317614
10,2023-11-20,133.69,136.66,133.62,136.25,27850762,-0.5256625538439086
11,2023-11-17,136.0,136.06,133.65,135.31,37287691,-0.6899082568807335
12,2023-11-16,135.19,137.2199,134.32,136.93,28013179,1.1972507575197744
13,2023-11-15,134.87,135.03,133.57,134.62,23861515,-1.6869933542686066
14,2023-11-14,134.19,135.7,133.32,133.62,32395178,-0.7428316743425922
15,2023-11-13,131.78,132.59,131.25,132.09,18324751,-1.1450381679389277
16,2023-11-10,130.105,132.8,129.41,132.59,26927826,0.37852979029449063
17,2023-11-09,131.96,132.55,130.065,130.24,23747773,-1.772381024209968
18,2023-11-08,130.97,132.21,130.78,131.84,26425849,1.228501228501222
19,2023-11-07,130.71,131.91,129.88,130.97,29757276,-0.6598907766990347
20,2023-11-06,129.05,130.34,128.67,130.25,19052740,-0.5497442162327282
21,2023-11-03,128.02,129.525,127.86,129.1,26393109,-0.8829174664107486
22,2023-11-02,128.42,128.98,126.93,127.49,27124647,-1.2470952749806363
23,2023-11-01,124.07,126.49,123.715,126.45,30082438,-0.8157502549219431
24,2023-10-31,125.06,125.37,122.685,124.08,26292342,-1.8742586002372552
25,2023-10-30,123.21,125.4,122.75,124.46,28940081,0.30625402965827053
26,2023-10-27,122.88,123.31,120.2057,122.17,44566506,-1.8399485778563318
27,2023-10-26,123.27,124.3297,121.27,122.28,57061140,0.09003847098305595
28,2023-10-25,128.16,128.31,125.07,125.61,84366208,2.7232580961727093
29,2023-10-24,137.83,139.3599,137.42,138.81,44814321,10.508717458801042
30,2023-10-23,135.04,137.6599,133.95,136.5,26317930,-1.6641452344931973
31,2023-10-20,137.33,137.87,135.08,135.6,26335673,-0.6593406593406681
32,2023-10-19,138.5,139.66,137.38,137.75,26066011,1.585545722713877
33,2023-10-18,139.445,140.72,137.38,137.96,23374998,0.1524500907441162
34,2023-10-17,138.63,139.9,137.18,139.72,23515780,1.275732096259774
35,2023-10-16,138.17,139.63,137.99,139.095,28501871,-0.44732321786430385
36,2023-10-13,139.38,140.0,136.615,137.36,23435599,-1.247348934181669
37,2023-10-12,141.05,141.22,138.26,138.97,24765537,1.1721025043680777
38,2023-10-11,138.58,141.11,138.58,140.55,25884303,1.1369360293588704
39,2023-10-10,138.5,139.72,137.33,138.06,27786613,-1.7716115261472876
40,2023-10-09,136.94,138.94,135.61,138.42,19278070,0.26075619295957697
41,2023-10-06,134.01,138.155,134.01,137.58,27597598,-0.6068487212830376
42,2023-10-05,135.07,135.49,133.45,135.07,19832615,-1.824393080389608
43,2023-10-04,132.79,135.57,132.53,135.24,26752295,0.12586066484046032
44,2023-10-03,133.94,134.26,131.84,132.43,22989401,-2.0777876367938486
45,2023-10-02,131.21,134.42,131.17,134.17,22288038,1.3139016839084583
46,2023-09-29,133.28,134.05,130.36,130.86,30859790,-2.467019452932828
47,2023-09-28,129.84,133.3,129.79,132.31,22513132,1.1080544092923583
48,2023-09-27,128.57,130.895,128.57,130.54,22746452,-1.337767364522724
49,2023-09-26,129.77,130.3645,127.22,128.565,25718704,-1.5129462233798074
50,2023-09-25,129.83,131.17,128.96,131.11,20094643,1.9795434216155483
51,2023-09-22,130.76,132.025,129.6,130.25,26397337,-0.6559377621844331
52,2023-09-21,131.44,132.23,130.07,130.44,31503910,0.1458733205374152
53,2023-09-20,138.08,138.08,133.62,133.74,29927475,2.5298988040478365
54,2023-09-19,137.42,138.41,136.62,138.04,20353653,3.2151936593389996
55,2023-09-18,136.61,139.16,136.61,138.21,21861346,0.12315270935960854
56,2023-09-15,137.98,138.52,136.48,137.4,38919614,-0.5860646841762573
57,2023-09-14,137.6,138.695,136.24,138.1,24750968,0.509461426491975
58,2023-09-13,135.09,136.9,134.15,136.71,20749496,-1.0065170166545845
59,2023-09-12,136.26,136.8701,135.19,135.34,18405505,-1.0021212786189726
60,2023-09-11,136.54,137.48,135.785,136.92,20763350,1.16743017585339
61,2023-09-08,134.91,136.66,134.85,136.38,23584188,-0.3943908851884226
62,2023-09-07,133.59,135.58,132.95,135.26,18844342,-0.8212347851591195
63,2023-09-06,136.02,136.5299,133.665,134.46,18684534,-0.5914534969687857
64,2023-09-05,135.44,136.42,134.5801,135.77,19403112,0.9742674401308937
65,2023-09-01,137.455,137.455,134.85,135.66,21543687,-0.08101937099507239
66,2023-08-31,136.01,138.0,135.79,136.17,30053800,0.3759398496240518
67,2023-08-30,134.78,136.275,134.07,135.88,28315769,-0.21296908276418058
68,2023-08-29,132.24,136.57,132.24,134.57,43075556,-0.9640859581984129
69,2023-08-28,131.31,132.54,130.14,131.01,20543266,-2.645463327636177
70,2023-08-25,129.54,130.76,127.25,129.88,26762891,-0.8625295778948106
71,2023-08-24,133.95,134.25,129.57,129.78,28500694,-0.07699414844470898
72,2023-08-23,130.18,133.41,129.87,132.37,27819713,1.9956850053937547
73,2023-08-22,128.51,130.278,128.32,129.08,22067520,-2.485457429931248
