Game ID,Estimated Sales
730,Unknown
578080,Unknown
1172470,Unknown
440,Unknown
550,Unknown
304930,Unknown
252490,Unknown
236390,Unknown
1938090,Unknown
359550,Unknown
4000,Unknown
1085660,Unknown
431960,Unknown
340,Unknown
218620,Unknown
1091500,Unknown
291480,Unknown
49520,Unknown
10,Unknown
1517290,Unknown
227940,Unknown
438100,Unknown
1240440,Unknown
620,Unknown
755790,Unknown
240,Unknown
444200,Unknown
648800,Unknown
550650,Unknown
242760,Unknown
239140,Unknown
433850,Unknown
1174180,Unknown
70,Unknown
251570,Unknown
400,Unknown
230410,Unknown
444090,Unknown
218230,Unknown
60,Unknown
377160,Unknown
107410,Unknown
224260,Unknown
1046930,Unknown
220,Unknown
221100,Unknown
130,Unknown
278360,Unknown
333930,Unknown
275850,Unknown
417910,Unknown
10180,Unknown
1238810,Unknown
700330,Unknown
273350,Unknown
360,Unknown
976730,Unknown
365590,Unknown
439700,Unknown
1172620,Unknown
594650,Unknown
2630,Unknown
363970,Unknown
219640,Unknown
253710,Unknown
30,Unknown
22380,Unknown
225840,Unknown
20,Unknown
231430,Unknown
264710,Unknown
304050,Unknown
8870,Unknown
420,Unknown
677620,Unknown
346900,Unknown
555570,Unknown
629760,Unknown
273110,Unknown
397900,Unknown
300,Unknown
211500,Unknown
500,Unknown
379720,Unknown
339610,Unknown
284160,Unknown
868270,Unknown
244210,Unknown
782330,Unknown
513710,Unknown
534380,Unknown
1237970,Unknown
552500,Unknown
238320,Unknown
311210,Unknown
8190,Unknown
1250,Unknown
6060,Unknown
355840,Unknown
222880,Unknown
1056960,Unknown
223750,Unknown
548430,Unknown
115300,Unknown
33930,Unknown
24240,Unknown
380600,Unknown
63380,Unknown
601510,Unknown
202970,Unknown
671860,Unknown
466240,Unknown
50,Unknown
397540,Unknown
7670,Unknown
674940,Unknown
302830,Unknown
518790,Unknown
884660,Unknown
506540,Unknown
35450,Unknown
261640,Unknown
1238840,Unknown
33900,Unknown
1229490,Unknown
301520,Unknown
552520,Unknown
1832640,Unknown
407530,Unknown
546560,Unknown
813820,Unknown
42680,Unknown
365670,Unknown
1151340,Unknown
1196590,Unknown
10090,Unknown
265630,Unknown
418460,Unknown
380,Unknown
1180380,Unknown
224600,Unknown
202990,Unknown
4560,Unknown
113400,Unknown
17410,Unknown
233130,Unknown
232090,Unknown
209870,Unknown
282440,Unknown
905370,Unknown
471710,Unknown
262410,Unknown
1619450,Unknown
298110,Unknown
242720,Unknown
286690,Unknown
460930,Unknown
8850,Unknown
286940,Unknown
1144200,Unknown
316010,Unknown
214490,Unknown
312660,Unknown
550900,Unknown
11020,Unknown
362890,Unknown
287390,Unknown
530700,Unknown
203290,Unknown
644560,Unknown
55100,Unknown
24960,Unknown
581320,Unknown
295110,Unknown
646910,Unknown
686810,Unknown
412020,Unknown
238090,Unknown
42700,Unknown
427730,Unknown
47870,Unknown
992300,Unknown
201810,Unknown
303390,Unknown
310560,Unknown
210770,Unknown
431240,Unknown
552990,Unknown
206210,Unknown
205100,Unknown
1217060,Unknown
41070,Unknown
7940,Unknown
220240,Unknown
783770,Unknown
259080,Unknown
774171,Unknown
470220,Unknown
1824220,Unknown
65930,Unknown
39120,Unknown
1274570,Unknown
337000,Unknown
238010,Unknown
22370,Unknown
317360,Unknown
823130,Unknown
436520,Unknown
204100,Unknown
314160,Unknown
1057240,Unknown
433340,Unknown
1058020,Unknown
493340,Unknown
612880,Unknown
223470,Unknown
767560,Unknown
409710,Unknown
611500,Unknown
578310,Unknown
389430,Unknown
1361210,Unknown
67370,Unknown
414700,Unknown
418370,Unknown
391460,Unknown
41700,Unknown
453480,Unknown
893520,Unknown
212160,Unknown
349700,Unknown
519860,Unknown
1029690,Unknown
355180,Unknown
1408720,Unknown
113420,Unknown
555160,Unknown
204450,Unknown
809960,Unknown
298240,Unknown
872790,Unknown
327690,Unknown
214420,Unknown
629520,Unknown
460920,Unknown
342200,Unknown
393380,Unknown
704270,Unknown
299360,Unknown
6860,Unknown
409720,Unknown
1404210,Unknown
621060,Unknown
476600,Unknown
239160,Unknown
447820,Unknown
272060,Unknown
1272080,Unknown
80,Unknown
17330,Unknown
8980,Unknown
939960,Unknown
322500,Unknown
4920,Unknown
17080,Unknown
6000,Unknown
636480,Unknown
242860,Unknown
47790,Unknown
442080,Unknown
427270,Unknown
704850,Unknown
537180,Unknown
65790,Unknown
228200,Unknown
346330,Unknown
6880,Unknown
4500,Unknown
924970,Unknown
235600,Unknown
10680,Unknown
263500,Unknown
19900,Unknown
2280,Unknown
235540,Unknown
206480,Unknown
274940,Unknown
418240,Unknown
324800,Unknown
657200,Unknown
6020,Unknown
2100,Unknown
493520,Unknown
224540,Unknown
1380400,Unknown
723780,Unknown
444640,Unknown
108800,Unknown
6850,Unknown
55110,Unknown
996470,Unknown
736220,Unknown
1286680,Unknown
674020,Unknown
383150,Unknown
301640,Unknown
1237950,Unknown
257510,Unknown
17300,Unknown
22350,Unknown
209160,Unknown
104900,Unknown
955050,Unknown
1987080,Unknown
70000,Unknown
736590,Unknown
6910,Unknown
622650,Unknown
209080,Unknown
816020,Unknown
447040,Unknown
212740,Unknown
753650,Unknown
1178830,Unknown
41000,Unknown
383080,Unknown
851850,Unknown
2400,Unknown
1676130,Unknown
49540,Unknown
360430,Unknown
292730,Unknown
450390,Unknown
378540,Unknown
246900,Unknown
339280,Unknown
204340,Unknown
577800,Unknown
21100,Unknown
1335200,Unknown
921060,Unknown
293540,Unknown
39000,Unknown
243470,Unknown
247120,Unknown
558100,Unknown
437220,Unknown
378860,Unknown
337320,Unknown
250820,Unknown
1789480,Unknown
13520,Unknown
233270,Unknown
2310,Unknown
